Wall time,Step,Value
1648138256.14144,63,477.3621826171875
1648138306.9340456,106,1384.8826904296875
1648138352.7705908,144,1055.5352783203125
1648138424.756129,206,918.4749755859375
1648138441.3320234,217,600.5386962890625
1648138454.4148908,225,362.2295837402344
1648138475.2624772,240,225.7103271484375
1648138490.8048723,250,111.76836395263672
1648138506.378513,260,18.15534782409668
1648138532.9428365,280,-47.160823822021484
1648138579.5763607,319,43.23957824707031
1648138683.6536453,411,630.293701171875
1648138745.0319045,463,425.3199462890625
1648138849.4059403,555,1014.5639038085938
1648138944.7654219,639,1480.7060546875
1648139027.7993712,711,1801.3450927734375
1648139120.244972,792,2110.49560546875
1648139192.0930772,854,2132.953369140625
1648139296.4251335,946,2496.37255859375
1648139379.6291065,1019,2697.8115234375
1648139460.8283367,1090,2864.460693359375
1648139540.8855078,1160,3025.134765625
1648139622.953211,1231,3182.4345703125
1648139719.7017052,1316,3270.71044921875
1648139812.298582,1397,3463.413818359375
1648139909.8844202,1483,3810.751708984375
1648140017.694063,1578,4123.515625
1648140111.2591708,1660,4431.546875
1648140229.6727486,1766,4866.3798828125
1648140329.0595174,1854,5212.06494140625
1648140451.6752198,1963,5657.8564453125
1648140566.082158,2064,6043.87353515625
1648140684.3493674,2169,6456.76904296875
1648140796.3634596,2268,6836.2421875
1648140921.050383,2379,7239.61279296875
1648141032.150415,2477,7548.64208984375
1648141210.757796,2638,7688.5732421875
1648141331.1327608,2745,8128.29736328125
1648141473.385365,2872,8147.9775390625
1648141593.4986925,2978,8043.2060546875
1648141713.5249107,3085,8185.6572265625
1648141828.4427996,3186,8266.4033203125
1648141985.1305554,3326,8583.9033203125
1648142119.4766796,3446,8681.107421875
1648142264.4990215,3576,8914.3642578125
1648142406.6827013,3703,9023.044921875
1648142580.4738638,3859,9204.2626953125
1648142726.011026,3989,9416.744140625
1648142857.8495882,4107,9654.3974609375
1648143023.3149104,4255,9793.4775390625
1648143223.7400541,4436,9912.1923828125
1648143397.3791716,4592,10018.3671875
1648143560.117415,4738,10199.3857421875
1648143722.1255019,4883,10243.9951171875
1648143867.9097595,5013,10417.1162109375
1648144003.9312642,5134,10515.8046875
1648144139.6027713,5255,10666.78515625
1648144266.0292866,5367,10806.3671875
1648144405.6876554,5491,10983.9140625
1648144537.4271798,5608,11150.2275390625
1648144674.6040108,5731,11332.263671875
1648144948.37823,5979,11419.1650390625
1648145093.0997803,6108,11591.8037109375
1648145237.4664133,6237,11744.1416015625
1648145403.16961,6386,12080.2958984375
1648145561.289697,6528,12191.939453125
1648145721.860201,6672,12378.25
1648145874.5475783,6808,12510.869140625
1648146031.051125,6948,12581.6962890625
1648146183.5012417,7084,12659.248046875
1648146340.7013755,7225,12843.998046875
1648146501.8918107,7369,12904.0556640625
1648146662.7058024,7514,12992.7333984375
1648146815.2869537,7651,12918.3818359375
1648146966.3645651,7786,13038.830078125
1648147129.0319915,7932,13123.892578125
1648147275.3856325,8062,13161.87109375
1648147449.4627264,8217,13236.896484375
1648147603.5479193,8355,13278.775390625
1648147754.7090995,8490,13338.2421875
1648147915.419979,8634,13400.5244140625
1648148033.0003445,8738,13307.1123046875
1648148184.87949,8874,13352.96484375
1648148335.8659127,9009,13238.1962890625
1648148497.097317,9153,13278.9052734375
1648148658.1119628,9297,13281.03125
1648148813.9605052,9436,13325.0556640625
1648148973.0995975,9579,13354.171875
1648149132.8543892,9723,13439.2138671875
1648149297.6193824,9871,13454.28515625
1648149448.3028643,10006,13505.4208984375
