Wall time,Step,Value
1650069089.8366363,33,-406.46148681640625
1650069111.9864929,49,-636.5169677734375
1650069146.6192837,77,-699.3243408203125
1650069186.8913202,110,-698.38818359375
1650069217.2655766,134,-724.1119995117188
1650069261.724553,171,-556.1714477539062
1650069330.7873828,231,-43.34540939331055
1650069367.2216005,260,-101.59263610839844
1650069425.8971562,310,149.9629364013672
1650069515.839364,390,341.76617431640625
1650069615.0009358,478,842.906494140625
1650069712.1401758,564,1143.966064453125
1650069836.6061792,675,1648.707763671875
1650069939.0959458,766,1908.7310791015625
1650070054.8767824,869,2320.17236328125
1650070163.7086995,966,2652.990234375
1650070276.4594555,1067,3012.8330078125
1650070378.010192,1157,3245.9560546875
1650070493.6598408,1260,3497.364990234375
1650070660.729218,1411,3937.1982421875
1650070748.4195714,1488,3997.39111328125
1650070892.202149,1618,4266.89990234375
1650071045.3362837,1757,4519.2177734375
1650071259.3497202,1953,4847.71728515625
1650071417.4472606,2096,5027.37353515625
1650071581.0597796,2244,5493.2216796875
1650071742.7130857,2390,6010.94189453125
1650071903.7666767,2536,6594.09228515625
1650072085.3982444,2700,7215.2578125
1650072236.975889,2837,7720.56103515625
1650072434.5484314,3017,8290.45703125
1650072590.851553,3158,8702.9150390625
1650072761.7862828,3312,9304.96484375
1650072945.7412984,3479,9817.33203125
1650073126.3087964,3643,10369.359375
1650073289.1920424,3790,10750.0029296875
1650073422.8357842,3910,11032.4013671875
1650073601.2980037,4071,11360.4267578125
1650073760.502667,4215,11777.6201171875
1650073926.052226,4365,12078.109375
1650074111.1680954,4533,12392.1044921875
1650074286.5339847,4692,12675.853515625
1650074460.045631,4848,13005.5087890625
1650074656.3899655,5027,13339.3125
1650074854.0126138,5206,13520.6083984375
1650075032.0740414,5368,13969.345703125
1650075205.3200922,5525,14229.47265625
1650075377.5513062,5682,14473.607421875
1650075559.44962,5848,14661.4267578125
1650075744.612919,6016,14859.96875
1650075943.0604734,6197,15106.6767578125
1650076140.5644908,6376,15313.240234375
1650076334.4618244,6552,15454.208984375
1650076521.315156,6722,15584.84765625
1650076705.7232485,6889,15787.6162109375
1650076884.843528,7051,15912.0615234375
1650077086.3979244,7234,16097.927734375
1650077310.491557,7438,16242.880859375
1650077586.5850065,7690,16357.9296875
1650077757.2914805,7845,16285.0849609375
1650077949.2730236,8020,16384.859375
1650078147.147438,8200,16646.443359375
1650078366.3253744,8400,16745.001953125
1650078551.5305676,8568,16860.69140625
