Wall time,Step,Value
1582136518.0460932,17,17.0
1582136519.8981926,48,14.0
1582136521.1367767,67,12.0
1582136521.7597518,75,8.0
1582136522.1309304,81,6.0
1582136522.5005858,87,6.0
1582136523.1199455,96,9.0
1582136523.489625,103,7.0
1582136523.861474,108,5.0
1582136524.4830635,116,8.0
1582136525.105465,126,10.0
1582136526.613597,152,13.0
1582136527.6034217,168,6.0
1582136528.232569,179,11.0
1582136528.598087,184,5.0
1582136530.2167494,214,30.0
1582136531.3319113,231,17.0
1582136531.6965652,237,6.0
1582136532.0667667,243,6.0
1582136532.6838605,251,8.0
1582136533.3007083,260,9.0
1582136534.287419,278,6.0
1582136535.7867236,301,12.0
1582136537.145992,321,6.0
1582136537.52081,329,8.0
1582136537.8943918,334,5.0
1582136538.5111053,340,6.0
1582136538.8798487,346,6.0
1582136539.749774,364,18.0
1582136540.1173973,369,5.0
1582136540.7466378,377,8.0
1582136541.6205266,391,14.0
1582136542.250048,401,10.0
1582136543.3709135,421,20.0
1582136544.8656085,446,11.0
1582136545.7369952,462,16.0
1582136546.3608835,470,8.0
1582136546.9829228,482,12.0
1582136547.3555152,487,5.0
1582136547.9840522,498,11.0
1582136548.9808426,513,5.0
1582136550.9820223,547,9.0
1582136551.8515897,560,13.0
1582136552.7266438,575,15.0
1582136553.0966105,582,7.0
1582136553.4711266,587,5.0
1582136554.7183907,605,18.0
1582136554.9734573,610,5.0
1582136555.8527708,625,15.0
1582136556.7290597,641,16.0
1582136558.3334718,666,5.0
1582136558.9569118,675,9.0
1582136560.320635,697,8.0
1582136560.9444444,705,8.0
1582136561.3141744,712,7.0
1582136561.6832156,718,6.0
1582136562.8100102,735,17.0
1582136563.9316,756,21.0
1582136565.4218383,782,9.0
1582136566.296532,796,14.0
1582136566.915515,807,11.0
1582136567.5416121,816,9.0
1582136568.2986288,825,9.0
1582136568.551543,830,5.0
1582136568.9146554,839,9.0
1582136569.921941,850,11.0
1582136570.175642,855,5.0
1582136570.543096,862,7.0
1582136570.9149017,869,7.0
1582136572.1563072,889,10.0
1582136572.5338833,894,5.0
1582136573.1531422,904,10.0
1582136573.783162,914,10.0
1582136574.4052632,922,8.0
1582136574.778002,928,6.0
1582136575.784044,944,11.0
1582136576.410318,951,7.0
1582136576.78627,959,8.0
1582136577.4147518,966,7.0
1582136579.0344133,998,32.0
1582136580.0388808,1011,8.0
1582136580.91806,1025,14.0
1582136581.2895148,1032,7.0
1582136582.2833838,1048,11.0
1582136582.9081736,1055,7.0
1582136583.778416,1071,16.0
1582136584.5168574,1080,9.0
1582136584.7656505,1085,5.0
1582136585.388406,1095,10.0
1582136586.013381,1109,14.0
1582136586.3877516,1114,5.0
1582136587.2585583,1125,11.0
1582136587.627741,1132,7.0
1582136588.2542052,1141,9.0
1582136588.630625,1146,5.0
1582136589.254252,1157,11.0
1582136590.2593863,1170,6.0
1582136593.0029984,1216,5.0
1582136593.6265178,1228,12.0
1582136594.2537222,1239,11.0
1582136595.1370704,1252,13.0
1582136595.7664301,1264,12.0
1582136596.383294,1274,10.0
1582136597.88556,1299,11.0
1582136598.8730686,1312,5.0
1582136599.2448099,1318,6.0
1582136599.8678794,1326,8.0
1582136600.243941,1331,5.0
1582136600.618072,1338,7.0
1582136602.8652956,1376,19.0
1582136603.2352014,1381,5.0
1582136603.9760356,1390,9.0
1582136604.2303326,1395,5.0
1582136604.599197,1402,7.0
1582136604.9664402,1409,7.0
1582136605.5888574,1417,8.0
1582136607.0909665,1442,14.0
1582136607.7139251,1450,8.0
1582136608.3355312,1464,14.0
1582136609.8334506,1487,9.0
1582136610.2024784,1492,5.0
1582136610.5685878,1498,6.0
1582136611.814562,1515,11.0
1582136612.4327233,1528,13.0
1582136613.5597413,1548,20.0
1582136614.1878355,1557,9.0
1582136615.0646133,1570,13.0
1582136615.6853154,1584,14.0
1582136616.310952,1592,8.0
1582136616.685609,1597,5.0
1582136617.3089004,1606,9.0
1582136617.680312,1611,5.0
1582136618.0523827,1617,6.0
1582136618.6781273,1627,10.0
1582136619.3064277,1638,11.0
1582136620.4386322,1658,20.0
1582136621.0646894,1666,8.0
1582136622.1929,1685,19.0
1582136622.8143346,1699,14.0
1582136623.1829278,1704,5.0
1582136624.1637352,1719,9.0
1582136625.6505313,1742,5.0
1582136626.2613604,1754,12.0
1582136626.8792877,1760,6.0
1582136627.497779,1774,14.0
1582136628.3669765,1785,11.0
1582136628.7332652,1794,9.0
1582136630.3509176,1821,27.0
1582136631.2100477,1835,14.0
1582136631.5764656,1843,8.0
1582136631.9444985,1849,6.0
1582136633.305026,1870,21.0
1582136633.92322,1882,12.0
1582136634.2951837,1887,5.0
1582136634.6664932,1893,6.0
1582136635.281885,1902,9.0
1582136636.1489277,1918,16.0
1582136636.7659814,1925,7.0
1582136637.3796296,1939,14.0
1582136638.4935186,1959,20.0
1582136639.3609993,1971,12.0
1582136639.727493,1977,6.0
1582136640.975686,1999,13.0
1582136641.8431118,2010,11.0
1582136642.4655826,2021,11.0
1582136643.337282,2036,15.0
1582136644.205768,2052,16.0
1582136645.0729866,2066,14.0
1582136645.6957111,2077,11.0
1582136647.6882224,2111,12.0
1582136648.0565841,2119,8.0
