Wall time,Step,Value
1582141670.72195,5,5.0
1582141670.7219954,14,9.0
1582141672.951618,42,26.0
1582141672.951661,54,12.0
1582141674.0666897,65,10.0
1582141675.1806054,98,32.0
1582141676.418354,116,17.0
1582141677.541569,126,9.0
1582141678.5359333,147,20.0
1582141681.7836533,210,60.0
1582141681.7836978,226,16.0
1582141682.9035835,250,23.0
1582141685.019829,284,32.0
1582141686.136809,306,21.0
1582141687.256135,319,12.0
1582141688.3736038,349,29.0
1582141689.49123,368,18.0
1582141691.6056998,417,47.0
1582141693.7294323,446,27.0
1582141694.9683316,468,21.0
1582141694.9683661,477,9.0
1582141696.085494,499,21.0
1582141698.1999388,535,34.0
1582141700.3208416,574,37.0
1582141701.4417062,596,21.0
1582141702.5606587,623,26.0
1582141705.6654005,680,54.0
1582141708.768229,741,58.0
1582141710.003497,758,16.0
1582141710.0035336,772,14.0
1582141712.1135051,799,25.0
1582141713.225545,828,28.0
1582141714.3473403,843,14.0
1582141715.4680371,870,26.0
1582141717.5862374,909,37.0
1582141718.709099,930,20.0
1582141719.8266344,963,32.0
1582141722.9464025,1009,43.0
1582141724.0606632,1034,24.0
1582141728.1730514,1114,76.0
1582141729.2847495,1150,35.0
1582141731.3999627,1187,35.0
1582141733.5083477,1233,44.0
1582141735.628947,1265,30.0
1582141736.752214,1291,25.0
1582141737.8672478,1314,22.0
1582141739.9822865,1351,35.0
1582141742.0944364,1386,33.0
1582141743.2012637,1415,28.0
1582141745.306684,1464,47.0
1582141750.3715749,1555,86.0
1582141752.4689634,1602,45.0
1582141754.571576,1643,39.0
1582141757.7304356,1706,60.0
1582141759.8525763,1749,41.0
1582141761.968906,1795,44.0
1582141764.0882773,1828,31.0
1582141765.196885,1862,33.0
1582141767.2937155,1903,39.0
1582141769.4044976,1932,27.0
1582141771.5097508,1981,47.0
1582141773.6089282,2023,40.0
1582141774.7262986,2052,28.0
1582141776.823933,2097,43.0
1582141778.933316,2137,38.0
1582141781.0426211,2172,33.0
1582141783.142773,2207,33.0
1582141784.2569826,2239,31.0
1582141786.3621626,2272,31.0
1582141788.4550219,2319,45.0
1582141790.547686,2356,35.0
1582141792.653832,2400,42.0
1582141794.7735364,2442,40.0
1582141797.8925884,2513,68.0
1582141799.991395,2545,30.0
