Wall time,Step,Value
1582146754.6433203,140,12.0
1582146754.6433563,147,7.0
1582146754.6433823,159,12.0
1582146754.6434073,179,20.0
1582146754.6434302,185,6.0
1582146754.6434624,194,9.0
1582146754.6434858,200,6.0
1582146754.6435068,205,5.0
1582146754.6435275,212,7.0
1582146754.643548,221,9.0
1582146754.6437418,227,6.0
1582146754.643764,232,5.0
1582146754.6437862,249,17.0
1582146762.4557755,259,10.0
1582146762.4558208,266,7.0
1582146762.4558558,272,6.0
1582146762.455891,281,9.0
1582146762.455928,303,22.0
1582146762.4559603,308,5.0
1582146762.4560187,316,8.0
1582146762.4560535,323,7.0
1582146762.4560883,329,6.0
1582146762.4561236,347,18.0
1582146762.456341,365,18.0
1582146762.456381,378,13.0
1582146770.5075076,386,8.0
1582146770.507541,392,6.0
1582146770.5075667,399,7.0
1582146770.5075898,408,9.0
1582146770.5076125,417,9.0
1582146770.507635,432,15.0
1582146770.5076559,439,7.0
1582146770.507676,444,5.0
1582146770.5076973,458,14.0
1582146770.5077178,466,8.0
1582146770.5079126,477,11.0
1582146770.5079353,485,8.0
1582146770.5079563,496,11.0
1582146770.5079777,508,12.0
1582146778.0937004,515,7.0
1582146778.093735,526,11.0
1582146778.0937607,536,10.0
1582146778.0937831,543,7.0
1582146778.0938056,551,8.0
1582146778.093835,574,23.0
1582146778.093858,587,13.0
1582146778.093878,593,6.0
1582146778.0939012,617,24.0
1582146778.093923,634,17.0
1582146785.4394078,643,9.0
1582146785.4394474,684,41.0
1582146785.439473,695,11.0
1582146785.4394963,707,12.0
1582146785.4395256,724,17.0
1582146785.439553,753,29.0
1582146785.4395738,759,6.0
1582146785.4395943,767,8.0
1582146793.0007403,777,10.0
1582146793.0007732,783,6.0
1582146793.0008004,803,20.0
1582146793.0008254,826,23.0
1582146793.000847,838,12.0
1582146793.0008757,847,9.0
1582146793.0008986,859,12.0
1582146793.0009267,874,15.0
1582146793.0009546,888,14.0
1582146793.0009813,894,6.0
1582146800.3469737,906,12.0
1582146800.3470085,923,17.0
1582146800.3470345,932,9.0
1582146800.3470852,957,25.0
1582146800.3471243,975,18.0
1582146800.3471498,991,16.0
1582146800.3471735,1002,11.0
1582146800.347195,1013,11.0
1582146807.1973026,1050,37.0
1582146807.1973429,1093,43.0
1582146807.1973689,1105,12.0
1582146807.1973922,1117,12.0
1582146814.313939,1155,38.0
1582146814.3139758,1180,25.0
1582146814.3140051,1211,31.0
1582146814.314031,1237,26.0
1582146814.3140552,1262,25.0
1582146814.3140767,1272,10.0
1582146821.5137773,1283,11.0
1582146821.5138192,1310,27.0
1582146821.5138457,1326,16.0
1582146821.5138693,1341,15.0
1582146821.5138936,1365,24.0
1582146821.5139153,1374,9.0
1582146821.5139382,1399,25.0
1582146828.7234027,1414,15.0
1582146828.723441,1434,20.0
1582146828.7234714,1454,20.0
1582146828.7235007,1478,24.0
1582146828.7235248,1493,15.0
1582146828.7235487,1510,17.0
1582146828.723573,1532,22.0
1582146835.806818,1543,11.0
1582146835.8068545,1564,21.0
1582146835.8068898,1587,23.0
1582146835.8069155,1601,14.0
1582146835.80694,1619,18.0
1582146835.806967,1652,33.0
1582146842.7744308,1681,29.0
1582146842.7744672,1708,27.0
1582146842.7744942,1734,26.0
1582146842.7745202,1765,31.0
1582146842.7745447,1787,22.0
1582146849.7408497,1795,8.0
1582146849.7408862,1821,26.0
1582146849.7409172,1861,40.0
1582146849.7409406,1868,7.0
1582146849.7409682,1906,38.0
1582146856.5836108,1950,44.0
1582146856.5836508,1976,26.0
1582146856.5836852,2005,29.0
1582146856.583717,2028,23.0
1582146863.5551689,2052,24.0
1582146863.5552065,2076,24.0
1582146863.5552373,2106,30.0
1582146863.5552638,2135,29.0
1582146863.555294,2156,21.0
1582146870.4066396,2188,32.0
1582146870.406677,2216,28.0
1582146870.4067087,2255,39.0
1582146870.4067352,2283,28.0
1582146877.4720266,2321,38.0
1582146877.4720676,2360,39.0
1582146877.4720929,2368,8.0
1582146877.4721298,2400,32.0
1582146877.4721565,2414,14.0
1582146884.5044484,2442,28.0
1582146884.5044873,2481,39.0
1582146884.5045137,2497,16.0
1582146884.504544,2523,26.0
1582146884.5045707,2553,30.0
1582146891.2337515,2576,23.0
1582146891.233793,2628,52.0
1582146891.233827,2660,32.0
1582146898.0782368,2691,31.0
1582146898.0782747,2717,26.0
1582146898.078306,2752,35.0
1582146898.0783353,2795,43.0
1582146904.9343593,2830,35.0
1582146904.9343975,2862,32.0
1582146904.9344275,2897,35.0
1582146904.9344556,2934,37.0
1582146911.655967,2966,32.0
1582146911.6560378,3014,48.0
1582146911.65607,3047,33.0
1582146918.5071642,3074,27.0
1582146918.507209,3127,53.0
1582146918.507248,3153,26.0
1582146918.507275,3179,26.0
1582146925.464223,3211,32.0
1582146925.464267,3256,45.0
1582146925.4642954,3279,23.0
1582146925.4643219,3305,26.0
1582146925.4643462,3324,19.0
1582146932.4394786,3352,28.0
1582146932.439521,3371,19.0
1582146932.4395578,3397,26.0
1582146932.43959,3418,21.0
1582146932.4396226,3443,25.0
1582146939.5542805,3475,32.0
1582146939.5543156,3490,15.0
1582146939.5543416,3498,8.0
1582146939.5543756,3527,29.0
1582146939.554401,3542,15.0
1582146939.5544286,3583,41.0
1582146946.2937775,3615,32.0
1582146946.2938178,3656,41.0
1582146946.2938457,3676,20.0
1582146953.389768,3713,37.0
1582146953.389809,3751,38.0
1582146953.3898365,3765,14.0
1582146953.389862,3789,24.0
1582146953.389888,3812,23.0
1582146953.3899124,3831,19.0
1582146960.2443142,3860,29.0
1582146960.2443514,3890,30.0
1582146960.2444005,3945,55.0
1582146960.244434,3967,22.0
1582146966.9961715,3999,32.0
1582146966.9962137,4046,47.0
1582146966.9962468,4081,35.0
1582146973.8492079,4119,38.0
1582146973.849243,4137,18.0
1582146973.8492713,4164,27.0
1582146973.8493056,4221,57.0
1582146980.8207486,4259,38.0
1582146980.8207953,4286,27.0
1582146980.8208232,4302,16.0
1582146980.8208492,4324,22.0
1582146980.820875,4351,27.0
1582146987.5404544,4413,62.0
1582146987.540491,4439,26.0
1582146987.5405192,4466,27.0
1582146994.4003475,4494,28.0
1582146994.4003854,4520,26.0
1582146994.4004188,4575,55.0
1582146994.4004447,4602,27.0
1582147001.3897786,4625,23.0
1582147001.389816,4651,26.0
1582147001.3898504,4686,35.0
1582147001.389876,4706,20.0
1582147001.3899007,4730,24.0
1582147008.260423,4758,28.0
1582147008.2604623,4797,39.0
1582147008.2604897,4817,20.0
1582147008.2605176,4853,36.0
1582147015.213772,4888,35.0
1582147015.2138112,4911,23.0
1582147015.2138393,4929,18.0
1582147015.2138689,4972,43.0
1582147015.213893,4989,17.0
1582147022.0722413,5013,24.0
1582147022.072293,5037,24.0
1582147022.072339,5069,32.0
1582147022.0723763,5090,21.0
1582147028.930432,5121,31.0
1582147028.9304678,5143,22.0
1582147028.9304984,5183,40.0
1582147028.9305267,5224,41.0
1582147035.8889465,5267,43.0
1582147035.8889828,5291,24.0
1582147035.8890147,5311,20.0
1582147035.8890486,5335,24.0
1582147035.8890767,5366,31.0
1582147042.7480483,5384,18.0
1582147042.7480905,5424,40.0
1582147042.7481205,5447,23.0
1582147042.7481475,5475,28.0
1582147049.4600518,5549,74.0
1582147049.460097,5569,20.0
1582147049.4601297,5580,11.0
1582147056.3081942,5637,57.0
1582147056.3082352,5678,41.0
1582147056.3082654,5711,33.0
1582147056.3082902,5734,23.0
1582147063.280769,5767,33.0
1582147063.2808104,5782,15.0
1582147063.280841,5811,29.0
1582147063.2808707,5852,41.0
1582147063.280896,5877,25.0
1582147070.0096002,5912,35.0
1582147070.009639,5943,31.0
1582147070.0096686,5974,31.0
1582147076.8587947,6019,45.0
1582147076.8588345,6048,29.0
1582147076.8588645,6079,31.0
1582147076.8588939,6121,42.0
1582147083.7290494,6147,26.0
1582147083.7291212,6190,43.0
1582147083.729165,6213,23.0
1582147083.7291937,6242,29.0
1582147090.5818317,6283,41.0
1582147090.5818703,6303,20.0
1582147090.5818992,6331,28.0
1582147090.5819287,6385,54.0
1582147097.4325845,6419,34.0
1582147097.4326246,6441,22.0
1582147097.432657,6464,23.0
1582147097.432687,6511,47.0
1582147104.1712453,6539,28.0
1582147104.1712897,6607,68.0
1582147104.1713204,6641,34.0
1582147110.895623,6682,41.0
1582147110.8956616,6714,32.0
1582147110.8956938,6754,40.0
1582147117.6378882,6803,49.0
1582147117.6379278,6843,40.0
1582147117.6379578,6857,14.0
1582147124.6398776,6917,60.0
1582147124.6399183,6939,22.0
1582147124.639947,6962,23.0
1582147124.6399739,6989,27.0
1582147124.6400516,7014,25.0
1582147131.5135248,7046,32.0
1582147131.5135627,7073,27.0
1582147131.5135942,7113,40.0
1582147131.5136213,7145,32.0
1582147138.3710566,7182,37.0
1582147138.3710952,7211,29.0
1582147138.3711262,7253,42.0
1582147138.371153,7284,31.0
1582147145.1219845,7311,27.0
1582147145.1220224,7340,29.0
1582147145.1220543,7389,49.0
1582147151.8466396,7459,70.0
1582147151.8466768,7487,28.0
1582147151.8467052,7517,30.0
1582147158.850782,7561,44.0
1582147158.8508196,7590,29.0
1582147158.8508484,7619,29.0
1582147158.850874,7645,26.0
1582147158.8509004,7678,33.0
1582147165.5701995,7711,33.0
1582147165.570237,7740,29.0
1582147165.570267,7779,39.0
1582147172.1737437,7832,53.0
1582147172.1737916,7912,80.0
1582147178.9178655,7947,35.0
1582147178.9179142,8000,53.0
1582147178.9179513,8029,29.0
1582147185.7760985,8079,50.0
1582147185.7761357,8106,27.0
1582147185.776166,8141,35.0
1582147185.7761917,8165,24.0
1582147192.5213573,8194,29.0
1582147192.5214047,8266,72.0
1582147192.5214427,8307,41.0
1582147199.2495253,8335,28.0
1582147199.2495666,8383,48.0
1582147199.249598,8427,44.0
1582147206.0384278,8483,56.0
1582147206.038465,8509,26.0
1582147206.038503,8555,46.0
1582147212.7625024,8588,33.0
1582147212.7625444,8641,53.0
1582147212.7625759,8681,40.0
1582147219.600502,8730,49.0
1582147219.6005425,8756,26.0
1582147219.6005712,8778,22.0
1582147219.6005983,8811,33.0
1582147226.320208,8851,40.0
1582147226.32025,8883,32.0
1582147226.3202844,8933,50.0
1582147233.195378,8963,30.0
1582147233.1954215,8994,31.0
1582147233.195452,9018,24.0
1582147233.1954813,9064,46.0
1582147239.919351,9095,31.0
1582147239.9193878,9118,23.0
1582147239.9194312,9162,44.0
1582147246.8866103,9218,56.0
1582147246.886649,9253,35.0
1582147246.886678,9282,29.0
1582147246.8867033,9308,26.0
1582147246.8867276,9333,25.0
1582147253.7242386,9365,32.0
1582147253.724276,9396,31.0
1582147253.7243133,9441,45.0
1582147253.7243397,9463,22.0
1582147260.469066,9484,21.0
1582147260.4691162,9520,36.0
1582147260.4691486,9549,29.0
1582147267.2125857,9613,64.0
1582147267.2126298,9669,56.0
1582147267.2126603,9701,32.0
1582147273.9471903,9737,36.0
1582147273.9472353,9787,50.0
1582147273.9472666,9821,34.0
1582147280.784881,9871,50.0
1582147280.7849193,9900,29.0
1582147280.784951,9943,43.0
1582147280.7849793,9983,40.0
1582147287.6617393,10001,18.0
1582147287.6617913,10032,31.0
1582147287.6618354,10062,30.0
1582147287.6618757,10091,29.0
1582147294.3929782,10133,42.0
