Wall time,Step,Value
1582151877.659432,8,8.0
1582151877.6594849,13,5.0
1582151877.6595123,19,6.0
1582151877.6595368,27,8.0
1582151877.659561,42,15.0
1582151877.6595855,68,26.0
1582151877.659607,73,5.0
1582151877.659629,87,14.0
1582151877.6596498,93,6.0
1582151877.659672,107,14.0
1582151877.6596937,115,8.0
1582151877.6598768,121,6.0
1582151877.659899,129,8.0
1582151877.65992,135,6.0
1582151877.6599407,142,7.0
1582151877.6599605,150,8.0
1582151877.659981,158,8.0
1582151877.6600347,165,7.0
1582151877.6600575,173,8.0
1582151877.660078,178,5.0
1582151877.6600988,185,7.0
1582151877.6602855,205,20.0
1582151877.6603065,210,5.0
1582151877.6603265,217,7.0
1582151877.6603458,223,6.0
1582151877.6603653,229,6.0
1582151877.6603847,237,8.0
1582151877.660404,242,5.0
1582151877.6604238,251,9.0
1582151877.6604455,269,18.0
1582151877.660465,274,5.0
1582151877.660619,282,8.0
1582151877.660642,297,15.0
1582151877.660662,305,8.0
1582151877.6606827,316,11.0
1582151877.6607025,321,5.0
1582151877.6607225,333,12.0
1582151877.6607437,350,17.0
1582151877.6607637,361,11.0
1582151877.660788,367,6.0
1582151877.660809,372,5.0
1582151877.6609387,379,7.0
1582151877.66096,390,11.0
1582151877.6609795,398,8.0
1582151877.6609995,407,9.0
1582151877.6610186,413,6.0
1582151877.661044,434,21.0
1582151877.6610641,442,8.0
1582151877.6610842,452,10.0
1582151877.6611028,457,5.0
1582151877.6611218,465,8.0
1582151877.6612718,485,20.0
1582151877.6612961,492,7.0
1582151877.6613169,500,8.0
1582151877.6613364,505,5.0
1582151877.6613564,521,16.0
1582151877.6613762,530,9.0
1582151877.661396,540,10.0
1582151877.6614146,545,5.0
1582151877.6614344,557,12.0
1582151877.661453,562,5.0
1582151877.661602,575,13.0
1582151877.6616285,595,20.0
1582151877.6616483,602,7.0
1582151877.6616678,607,5.0
1582151877.6616874,612,5.0
1582151877.6617084,630,18.0
1582151877.6617277,639,9.0
1582151877.6617467,646,7.0
1582151877.6617663,658,12.0
1582151877.6617851,663,5.0
1582151877.6619172,680,17.0
1582151877.661938,689,9.0
1582151877.6619573,697,8.0
1582151877.661977,705,8.0
1582151877.6619978,720,15.0
1582151877.6620176,730,10.0
1582151877.6620364,735,5.0
1582151877.662056,746,11.0
1582151877.662075,756,10.0
1582151877.662102,770,14.0
1582151877.6622603,776,6.0
1582151877.6622925,782,6.0
1582151877.6623228,788,6.0
1582151877.6623576,807,19.0
1582151877.6623874,813,6.0
1582151877.6624222,821,8.0
1582151877.6624541,829,8.0
1582151877.6624875,839,10.0
1582151877.6625185,846,7.0
1582151877.6625519,851,5.0
1582151877.662727,859,8.0
1582151877.662764,869,10.0
1582151877.6628036,884,15.0
1582151877.6628451,890,6.0
1582151877.66289,895,5.0
1582151877.6629405,902,7.0
1582151877.6629865,913,11.0
1582151877.6630185,918,5.0
1582151877.6630416,927,9.0
1582151877.6630638,944,17.0
1582151877.6631913,954,10.0
1582151877.6632164,964,10.0
1582151877.6632462,973,9.0
1582151877.6632674,980,7.0
1582151877.663287,985,5.0
1582151877.6633067,992,7.0
1582151877.6633263,998,6.0
1582151877.6633558,1003,5.0
1582151877.6633992,1011,8.0
1582151940.0478382,1026,15.0
1582151940.047894,1036,10.0
1582151940.047922,1042,6.0
1582151940.0479453,1051,9.0
1582151940.047967,1062,11.0
1582151940.0479877,1067,5.0
1582151940.0480452,1078,11.0
1582151940.048075,1086,8.0
1582151940.0481055,1096,10.0
1582151940.0481362,1107,11.0
1582151940.0481575,1112,5.0
1582151940.0483987,1136,24.0
1582151940.048421,1147,11.0
1582151940.0484426,1167,20.0
1582151940.0484653,1188,21.0
1582151940.0484846,1195,7.0
1582151940.048506,1205,10.0
1582151940.0485306,1212,7.0
1582151940.0485501,1219,7.0
1582151940.0485694,1228,9.0
1582151940.0485888,1233,5.0
1582151940.048722,1246,13.0
1582151940.0487428,1255,9.0
1582151940.048762,1264,9.0
1582151940.048782,1274,10.0
1582151940.0488012,1281,7.0
1582151940.0488198,1286,5.0
1582151940.0488505,1301,15.0
1582151940.0488715,1307,6.0
1582151940.0488906,1313,6.0
1582151940.0489104,1323,10.0
1582151940.049072,1328,5.0
1582151940.0490928,1336,8.0
1582151940.049112,1342,6.0
1582151940.0491316,1348,6.0
1582151940.0491526,1365,17.0
1582151940.0491722,1377,12.0
1582151940.0491912,1382,5.0
1582151940.0492122,1400,18.0
1582151940.0492327,1415,15.0
1582151940.049252,1426,11.0
1582151940.0493765,1433,7.0
1582151940.0493982,1448,15.0
1582151940.0494184,1462,14.0
1582151940.049438,1468,6.0
1582151940.0494566,1473,5.0
1582151940.0494769,1487,14.0
1582151940.0494964,1492,5.0
1582151940.049515,1497,5.0
1582151940.0495336,1503,6.0
1582151940.0495527,1512,9.0
1582151940.0496802,1534,22.0
1582151940.0497015,1545,11.0
1582151940.0497208,1552,7.0
1582151940.0497413,1564,12.0
1582151940.0497649,1569,5.0
1582151940.0497892,1577,8.0
1582151940.0498095,1588,11.0
1582151940.0498283,1595,7.0
1582151940.0498476,1603,8.0
1582151940.0498657,1608,5.0
1582151940.0499957,1614,6.0
1582151940.0500176,1621,7.0
1582151940.0500362,1626,5.0
1582151940.050056,1637,11.0
1582151940.050075,1645,8.0
1582151940.0500948,1656,11.0
1582151940.0501137,1663,7.0
1582151940.0501332,1676,13.0
1582151940.0501528,1686,10.0
1582151940.050173,1700,14.0
1582151940.0503027,1709,9.0
1582151940.0503247,1715,6.0
1582151940.050345,1721,6.0
1582151940.050365,1729,8.0
1582151940.0503902,1743,14.0
1582151940.0504167,1792,49.0
1582151940.0504398,1817,25.0
1582151940.0504613,1834,17.0
1582151940.0504827,1854,20.0
1582151940.050505,1877,23.0
1582151940.0506501,1892,15.0
1582151940.0506742,1901,9.0
1582151940.0506945,1906,5.0
1582151940.0507166,1928,22.0
1582151940.0507357,1933,5.0
1582151940.0507581,1961,28.0
1582151940.0507789,1975,14.0
1582151940.0508006,1996,21.0
1582151940.0508254,2002,6.0
1582151940.0508482,2024,22.0
1582151940.0509763,2030,6.0
1582151940.0509975,2038,8.0
1582151998.5738902,2061,23.0
1582151998.5739372,2067,6.0
1582151998.5739646,2080,13.0
1582151998.5739863,2087,7.0
1582151998.574023,2144,57.0
1582151998.5740466,2155,11.0
1582151998.5740716,2186,31.0
1582151998.5741017,2200,14.0
1582151998.5741253,2209,9.0
1582151998.5741465,2219,10.0
1582151998.5741668,2225,6.0
1582151998.5743585,2243,18.0
1582151998.5743814,2250,7.0
1582151998.5744028,2266,16.0
1582151998.5744236,2275,9.0
1582151998.5744445,2292,17.0
1582151998.5744643,2302,10.0
1582151998.5744867,2325,23.0
1582151998.5745063,2333,8.0
1582151998.5745263,2345,12.0
1582151998.5745456,2353,8.0
1582151998.5746827,2367,14.0
1582151998.5747063,2391,24.0
1582151998.5747266,2398,7.0
1582151998.5747476,2407,9.0
1582151998.574767,2414,7.0
1582151998.5747948,2474,60.0
1582151998.574815,2485,11.0
1582151998.574837,2509,24.0
1582151998.5748584,2532,23.0
1582151998.5748792,2543,11.0
1582151998.5750122,2570,27.0
1582151998.5750337,2578,8.0
1582151998.5750635,2584,6.0
1582151998.5750911,2595,11.0
1582151998.575118,2603,8.0
1582151998.57514,2620,17.0
1582151998.5751715,2646,26.0
1582151998.5751941,2657,11.0
